Model ID,Model name (.obj),Folder name,# Vertices,Semantic Category,Scale factor (in Unity),Main viewpoint transform rotation (in Unity),Model position (in Unity scene),,,,
39,170516_mia337_032122_600_200Kfaces_8192px_OBJ,12th-c-ce-water-moon-guanyin,100856,(Human) Statue,2.6,(0,180, 0),(0,0.15, 3)
43,Deity_Earring_with_Vishnu_Garuda_and_chepu_100K,19153382-deity-earring,62990,Object/Deco,0.297,(0,180, 0),(0.01,-0.17, 3)
48,1970.16_Neck_Amphora_100K,197016-neck-amphora,56893,Object/Deco,0.084,(-10,0, 0),(0,-0.18, 3)
46,bread_BakedUV,Bread,5000,Object/Food,0.06,(-10,0, 0),(0,-0.15, 3)
5,abel_highpoly_meshexp,abel-cable-mascot,198683,Deco/Mascot,0.01,(85,0, 90),(0,0.15, 3)
53,ET26_L_MK1,adorno-con-forma-de-pez-mexico,150000,Object/Deco,0.01,(0,-90, 0),(0,0, 3)
33,Ailurodus_maculosus,ailurodus-maculosus-spotted-catbird,155900,Animal/Bird,0.01,(-58,90, 0),(0,0.15, 3)
40,Alnus_japonica_398_250k,alnus-japonica-cone-398-cameras,124936,Object,0.1,(-50,-90, 0),(0,0, 3)
52,dino_retopo_uv,amurosaurus-riabinini,635206,Statue (animal),0.17,(-90,180, 312),(0,0, 3)
17,PRI_Hepatus,arthropod-hepatus-epheliticus,393652,Animal,0.9,(-50,180, 180),(0,0, 3)
42,balustervase_BakedUV,baluster-vase-one-of-three-in-a-five-piece,150498,Object/Deco,5.5,(0,0, 0),(0,0, 3)
15,statue,belleek-candelabrum-stags-head,77924,Statue,0.0068,(0,180, 0),(0,0.06, 3)
4,Boiler,boiler-from-the-puffer-vic-32,99984,Mecanical part/Machine,0.5,(0,0, 0),(0,0, 3)
45,bronzeCat,bronze-cat,650778,Statue (animal),1,(105,180, 0),(0,-0.02, 3)
2,CharlieChaplin,charlie-chaplin-waterville,123187,Statue (human),0.5,(85,90, 180),(0,0.1, 3)
47,CopticBookModel,coptic-prayer-book,110800,Object,0.012,(-15,45, -20),(0,0, 3)
16,shark_bakedUV,cretoxyrhina,669346,Animal,1.1,(8,30, 3),(0,0, 3)
32,Ackerbau_BakedUV,der-ackerbau,360856,Human Statue,0.12,(-90,-90, 0),(0,0.1, 3)
22,dom_utka,dom-utka-domestic-duck,74435,Animal,0.0045,(-10,200, 0),(0,0, 3)
34,dorfkirche,dorfkirche-warchau,486850,Building,0.15,(-25,90, 0),(0,-0.27, 3)
41,Emberiza_calandra2,emberiza-calandra,74817,Bird/Animal,0.92,(65,-90, -35),(0.2,-0.03, 3)
30,Flintlock_Pistol,flintlock-pistol,114140,Object/ (Deco),0.048,(20,90, -20),(0,0, 3)
3,Harrison_Front_Parlor_ChairSimplified,front-parlor-chair,1977318 Simplified (395490),Object/Furniture,0.0023,(-120,180, -93),(0,-0.1, 3)
35,GeorgeWashington_BakedUV,george-washington-bust,150006,Face Statue/Bust,0.0032,(90,0, 90),(0,0, 3)
55,Graphosoma,graphosoma-lineatum,125002,Insect/Animal,0.25,(0,-120, 90),(0,0, 3)
7,Doryphoros_HighRes_4Mfaces_Simplified_BakedUV,high-resolution-doryphoros,2414732 Simplified (483746),Human Statue,1.35,(-90,0, -90),(0,0, 3)
26,PlaningMachine200K,horizontal-and-vertical-planing-machine,98744,Mecanical part/Machine,0.4,(0,35, 0),(0,0.2, 3)
12,to_subs,ibanez-jem-guitar,17544,Object/Instrument,0.25,(-90,90, 0),(0,0, 3)
8,Jomon_bakedUV,jomon-figurine,250723,Statue,12,(-90,90, 0),(0,0.1, 3)
38,diez_BakedUV,juan-pablo-duarte,306337,Statue(human),0.75,(-90,90, 0),(0,0, 3)
25,Lidded-Ewer_bakedUV,lidded-ritual-ewer-guang,150951,Statue (animal),7.5,(-50,-125, 0),(0,0, 3)
37,Elephant_zun_bakedUV,lidded-ritual-ewer-huo,130012,Statue (animal),1.33,(0,60, 0),(0,0, 3)
1,AsparnLoewe_C,lowe-von-asparn,358928,Statue,0.08,(-90,0, 0),(0,0, 3)
6,Beethoven_bakedUV2,ludwig-van-beethoven,259878,Human Statue,0.18,(-90,180, 0),(0,0.1, 3)
54,bear,malay-bear,299976,Statue (animal),0.00505,(8,90, 180),(-0.015,-0.075, 3)
24,mask-from-madang-province,mask-from-madang-province,297988,Object/mask,0.007,(90,-90, 0),(0,0.06, 3)
44,lizard_BakedUV,model-59a-sling-tailed-agama,36214,Animal,0.7,(-30,5, 0),(0,0.4, 3.1)
27,Orbiter_Space_Shuttle_OV-103_Discovery-150k-4096,orbiter-space-shuttle-ov-103-discovery,71352,Mean of transport (Plane),8.5E-05,(0,90, 90),(0,0, 3)
23,Orchid,Orchid,20144,Object/Plant,0.11,(0,-15, 0),(-0.05,0, 3)
29,model_Pastries_20180129_111506950,pastries,119038,Object/Food,0.022,(5,120, -10),(0,-0.38, 3)
18,pizza_bakedUV,pizza,27611,Object/Food,2.2,(-40,25, -15),(0,0, 3)
49,JaneAnne_WithBase,rnlb-jane-anne,92223,Mean of transport (Boat),0.3,(-20,-25, 5),(0,-0.45, 3)
36,rescue_craft,air-sea-rescue-craft-asr-10,249428,Mean of transport (Boat),0.32,(10,180, 0),(0,0, 3)
19,SitzenderKnabeNC,sitzender-knabe,310314,Statue (human),0.07,(-90,0, 0),(0,0.15, 3)
21,skiboot_BakedUV,ski-boots-worn-by-seba-johnson,149906,Object/shoes,6.5,(0,120, 0),(0,0.1, 3)
20,SculptureShaman,skulptur,185416,Statue ,0.55,(0,-20, 0),(0,0.1, 3)
50,GoldenStatueModel,statue-chiriqui,260670,Statue,0.005,(0,0, 0),(0,0.05, 3)
9,Streblognathus,streblognathus-peetersi,189633,Insect/Animal,0.13,(-90,-15,-50),(0.2,0, 3)
10,sylvaniapathmaker,sylvania-pathmaker,109929,Mecanical part/Machine,0.022,(50,110, 225),(0,0, 3)
28,load_objects,the-skull-of-the-polar-bear,306900,Object/Animal Skull,1.4,(-10,-35, 20),(0,0, 3)
11,TimeWarner_SA_remote,time-warner-sa-remote,134472,Object/Electronic,0.017,(0,180, -2),(0,0, 3)
14,yourMesh,tonna-galea,209609,Object,0.012,(110,-25, 0),(0,0, 3)
13,Triceratops_manifold,triceratops-horridus-marsh,74282,Animal/Skeleton,0.00055,(-20,0, -120),(0,0, 3)
31,piano,upright-piano,16801,Object/Instrument,1.6,(15,180, 0),(0,-0.05, 3)
51,bike_bakedUV2,vincent-jetprince-1967-dream-bike,62930,Mean of transport (bike),1.1,(0,-90, 0),(0,0, 3)
